mode,size_bytes,size_kb,N,avg_total_ns,ns_per_iter
sequential,1024,1,256,57.1429,0.2232
random,1024,1,256,8100.0000,31.6406
random_index,1024,1,256,128.5714,0.5022
sequential,2048,2,512,100.0000,0.1953
random,2048,2,512,16828.5714,32.8683
random_index,2048,2,512,242.8571,0.4743
sequential,3072,3,768,71.4286,0.0930
random,3072,3,768,24142.8571,31.4360
random_index,3072,3,768,300.0000,0.3906
sequential,4096,4,1024,100.0000,0.0977
random,4096,4,1024,31571.4286,30.8315
random_index,4096,4,1024,400.0000,0.3906
sequential,5120,5,1280,114.2857,0.0893
random,5120,5,1280,39442.8571,30.8147
random_index,5120,5,1280,471.4286,0.3683
sequential,6144,6,1536,128.5714,0.0837
random,6144,6,1536,47342.8571,30.8222
random_index,6144,6,1536,585.7143,0.3813
sequential,7168,7,1792,214.2857,0.1196
random,7168,7,1792,55171.4286,30.7876
random_index,7168,7,1792,642.8571,0.3587
sequential,8192,8,2048,185.7143,0.0907
random,8192,8,2048,63214.2857,30.8664
random_index,8192,8,2048,714.2857,0.3488
sequential,9216,9,2304,328.5714,0.1426
random,9216,9,2304,70971.4286,30.8036
random_index,9216,9,2304,871.4286,0.3782
sequential,10240,10,2560,228.5714,0.0893
random,10240,10,2560,80114.2857,31.2946
random_index,10240,10,2560,957.1429,0.3739
sequential,11264,11,2816,214.2857,0.0761
random,11264,11,2816,86242.8571,30.6260
random_index,11264,11,2816,1071.4286,0.3805
sequential,12288,12,3072,671.4286,0.2186
random,12288,12,3072,95242.8571,31.0035
random_index,12288,12,3072,1128.5714,0.3674
sequential,13312,13,3328,371.4286,0.1116
random,13312,13,3328,120114.2857,36.0920
random_index,13312,13,3328,1414.2857,0.4250
sequential,14336,14,3584,300.0000,0.0837
random,14336,14,3584,114014.2857,31.8120
random_index,14336,14,3584,1342.8571,0.3747
sequential,15360,15,3840,314.2857,0.0818
random,15360,15,3840,118771.4286,30.9301
random_index,15360,15,3840,1442.8571,0.3757
sequential,16384,16,4096,328.5714,0.0802
random,16384,16,4096,125185.7143,30.5629
random_index,16384,16,4096,1500.0000,0.3662
sequential,17408,17,4352,357.1429,0.0821
random,17408,17,4352,135414.2857,31.1154
random_index,17408,17,4352,1628.5714,0.3742
sequential,18432,18,4608,457.1429,0.0992
random,18432,18,4608,139614.2857,30.2982
random_index,18432,18,4608,1900.0000,0.4123
sequential,19456,19,4864,600.0000,0.1234
random,19456,19,4864,147142.8571,30.2514
random_index,19456,19,4864,2542.8571,0.5228
sequential,20480,20,5120,971.4286,0.1897
random,20480,20,5120,156342.8571,30.5357
random_index,20480,20,5120,2828.5714,0.5525
sequential,21504,21,5376,928.5714,0.1727
random,21504,21,5376,162300.0000,30.1897
random_index,21504,21,5376,2000.0000,0.3720
sequential,22528,22,5632,442.8571,0.0786
random,22528,22,5632,169728.5714,30.1365
random_index,22528,22,5632,2100.0000,0.3729
sequential,23552,23,5888,471.4286,0.0801
random,23552,23,5888,179171.4286,30.4299
random_index,23552,23,5888,2200.0000,0.3736
sequential,24576,24,6144,685.7143,0.1116
random,24576,24,6144,185142.8571,30.1339
random_index,24576,24,6144,2300.0000,0.3743
sequential,25600,25,6400,557.1429,0.0871
random,25600,25,6400,199414.2857,31.1585
random_index,25600,25,6400,2400.0000,0.3750
sequential,26624,26,6656,528.5714,0.0794
random,26624,26,6656,202157.1429,30.3722
random_index,26624,26,6656,2500.0000,0.3756
sequential,27648,27,6912,557.1429,0.0806
