mode,size_bytes,size_kb,size_mb,elements,total_ns,ns_per_iter
sequential,1024,1.000000,0.000977,256,200,0.781250
random,1024,1.000000,0.000977,256,9500,37.109375
random_index,1024,1.000000,0.000977,256,200,0.781250
sequential,2048,2.000000,0.001953,512,300,0.585938
random,2048,2.000000,0.001953,512,18500,36.132812
random_index,2048,2.000000,0.001953,512,400,0.781250
sequential,3072,3.000000,0.002930,768,700,0.911458
random,3072,3.000000,0.002930,768,27900,36.328125
random_index,3072,3.000000,0.002930,768,600,0.781250
sequential,4096,4.000000,0.003906,1024,1000,0.976562
random,4096,4.000000,0.003906,1024,36600,35.742188
random_index,4096,4.000000,0.003906,1024,800,0.781250
sequential,5120,5.000000,0.004883,1280,1300,1.015625
random,5120,5.000000,0.004883,1280,46500,36.328125
random_index,5120,5.000000,0.004883,1280,1500,1.171875
sequential,6144,6.000000,0.005859,1536,1700,1.106771
random,6144,6.000000,0.005859,1536,56600,36.848958
random_index,6144,6.000000,0.005859,1536,1600,1.041667
sequential,7168,7.000000,0.006836,1792,1500,0.837054
random,7168,7.000000,0.006836,1792,66700,37.220982
random_index,7168,7.000000,0.006836,1792,2600,1.450893
sequential,8192,8.000000,0.007812,2048,2000,0.976562
random,8192,8.000000,0.007812,2048,73300,35.791016
random_index,8192,8.000000,0.007812,2048,1600,0.781250
sequential,9216,9.000000,0.008789,2304,2100,0.911458
random,9216,9.000000,0.008789,2304,83200,36.111111
random_index,9216,9.000000,0.008789,2304,1800,0.781250
sequential,10240,10.000000,0.009766,2560,2900,1.132812
random,10240,10.000000,0.009766,2560,91300,35.664062
random_index,10240,10.000000,0.009766,2560,2100,0.820312
sequential,11264,11.000000,0.010742,2816,3100,1.100852
random,11264,11.000000,0.010742,2816,104300,37.038352
random_index,11264,11.000000,0.010742,2816,2300,0.816761
sequential,12288,12.000000,0.011719,3072,1800,0.585938
random,12288,12.000000,0.011719,3072,109300,35.579427
random_index,12288,12.000000,0.011719,3072,2500,0.813802
sequential,13312,13.000000,0.012695,3328,3200,0.961538
random,13312,13.000000,0.012695,3328,121500,36.508413
random_index,13312,13.000000,0.012695,3328,4000,1.201923
sequential,14336,14.000000,0.013672,3584,2100,0.585938
random,14336,14.000000,0.013672,3584,127800,35.658482
random_index,14336,14.000000,0.013672,3584,2900,0.809152
sequential,15360,15.000000,0.014648,3840,4100,1.067708
random,15360,15.000000,0.014648,3840,142400,37.083333
random_index,15360,15.000000,0.014648,3840,4500,1.171875
sequential,16384,16.000000,0.015625,4096,4200,1.025391
random,16384,16.000000,0.015625,4096,149900,36.596680
random_index,16384,16.000000,0.015625,4096,3900,0.952148
sequential,17408,17.000000,0.016602,4352,4800,1.102941
random,17408,17.000000,0.016602,4352,164100,37.706801
random_index,17408,17.000000,0.016602,4352,5400,1.240809
sequential,18432,18.000000,0.017578,4608,2900,0.629340
random,18432,18.000000,0.017578,4608,165100,35.828993
random_index,18432,18.000000,0.017578,4608,3800,0.824653
sequential,19456,19.000000,0.018555,4864,5100,1.048520
random,19456,19.000000,0.018555,4864,187100,38.466283
random_index,19456,19.000000,0.018555,4864,7900,1.624178
sequential,20480,20.000000,0.019531,5120,5100,0.996094
random,20480,20.000000,0.019531,5120,199300,38.925781
random_index,20480,20.000000,0.019531,5120,4100,0.800781
sequential,21504,21.000000,0.020508,5376,5400,1.004464
random,21504,21.000000,0.020508,5376,191900,35.695685
random_index,21504,21.000000,0.020508,5376,6300,1.171875
sequential,22528,22.000000,0.021484,5632,5400,0.958807
random,22528,22.000000,0.021484,5632,201400,35.759943
random_index,22528,22.000000,0.021484,5632,6700,1.189631
sequential,23552,23.000000,0.022461,5888,5700,0.968071
random,23552,23.000000,0.022461,5888,224200,38.077446
random_index,23552,23.000000,0.022461,5888,7800,1.324728
sequential,24576,24.000000,0.023438,6144,7200,1.171875
random,24576,24.000000,0.023438,6144,225100,36.637370
random_index,24576,24.000000,0.023438,6144,4900,0.797526
sequential,25600,25.000000,0.024414,6400,5200,0.812500
random,25600,25.000000,0.024414,6400,228800,35.750000
random_index,25600,25.000000,0.024414,6400,7600,1.187500
sequential,26624,26.000000,0.025391,6656,6800,1.021635
random,26624,26.000000,0.025391,6656,256200,38.491587
random_index,26624,26.000000,0.025391,6656,8400,1.262019
sequential,27648,27.000000,0.026367,6912,7300,1.056134
random,27648,27.000000,0.026367,6912,255600,36.979167
random_index,27648,27.000000,0.026367,6912,9400,1.359954
sequential,28672,28.000000,0.027344,7168,8800,1.227679
random,28672,28.000000,0.027344,7168,290100,40.471540
random_index,28672,28.000000,0.027344,7168,6300,0.878906
sequential,29696,29.000000,0.028320,7424,8100,1.091056
random,29696,29.000000,0.028320,7424,266400,35.883621
random_index,29696,29.000000,0.028320,7424,6500,0.875539
sequential,30720,30.000000,0.029297,7680,9800,1.276042
random,30720,30.000000,0.029297,7680,296600,38.619792
random_index,30720,30.000000,0.029297,7680,6500,0.846354
sequential,31744,31.000000,0.030273,7936,7600,0.957661
random,31744,31.000000,0.030273,7936,306500,38.621472
random_index,31744,31.000000,0.030273,7936,6900,0.869456
sequential,32768,32.000000,0.031250,8192,5000,0.610352
random,32768,32.000000,0.031250,8192,303200,37.011719
random_index,32768,32.000000,0.031250,8192,6800,0.830078
sequential,33792,33.000000,0.032227,8448,5600,0.662879
random,33792,33.000000,0.032227,8448,384400,45.501894
random_index,33792,33.000000,0.032227,8448,8500,1.006155
sequential,34816,34.000000,0.033203,8704,9200,1.056985
random,34816,34.000000,0.033203,8704,327200,37.591912
random_index,34816,34.000000,0.033203,8704,10700,1.229320
sequential,35840,35.000000,0.034180,8960,8800,0.982143
random,35840,35.000000,0.034180,8960,342600,38.236607
random_index,35840,35.000000,0.034180,8960,8200,0.915179
sequential,36864,36.000000,0.035156,9216,9700,1.052517
random,36864,36.000000,0.035156,9216,355400,38.563368
random_index,36864,36.000000,0.035156,9216,11900,1.291233
sequential,37888,37.000000,0.036133,9472,9900,1.045186
random,37888,37.000000,0.036133,9472,345200,36.444257
random_index,37888,37.000000,0.036133,9472,14100,1.488598
sequential,38912,38.000000,0.037109,9728,10700,1.099918
random,38912,38.000000,0.037109,9728,362400,37.253289
